docks,id,lat,lon,name
19,BikePoints_352,51.486965,-0.116625,"Vauxhall Street, Vauxhall"
17,BikePoints_353,51.494591,-0.134234,"Greycoat Street, Westminster"
37,BikePoints_354,51.506767,-0.123702,"Northumberland Avenue, Strand"
21,BikePoints_355,51.486575,-0.117286,"Oval Way, Vauxhall"
15,BikePoints_356,51.494412,-0.173881,"South Kensington Station, South Kensington"
30,BikePoints_357,51.520994,-0.139016,"Howland Street, Fitzrovia"
20,BikePoints_358,51.516226,-0.124826,"High Holborn, Covent Garden"
18,BikePoints_359,51.497829,-0.13544,"Butler Place, Westminster"
27,BikePoints_360,51.496753,-0.138733,"Howick Place, Westminster"
55,BikePoints_361,51.503919,-0.113426,"Waterloo Station 2, Waterloo"
57,BikePoints_362,51.536264,-0.133952,"Royal College Street, Camden Town"
24,BikePoints_363,51.529121,-0.171185,"Lord's, St. John's Wood"
41,BikePoints_364,51.519656,-0.132339,"Alfred Place, Bloomsbury"
47,BikePoints_365,51.530344,-0.100168,"City Road, Angel"
27,BikePoints_366,51.510919,-0.151126,"Millennium Hotel, Mayfair"
16,BikePoints_367,51.517372,-0.164207,"Harrowby Street, Marylebone"
25,BikePoints_368,51.500241,-0.15934,"Harriet Street, Knightsbridge"
20,BikePoints_370,51.520205,-0.174593,"Paddington Green, Paddington"
22,BikePoints_371,51.49775,-0.10988,"King Edward Walk, Waterloo"
24,BikePoints_372,51.515208,-0.117863,"Sardinia Street, Holborn"
18,BikePoints_373,51.499806,-0.176415,"Prince Consort Road, Knightsbridge"
36,BikePoints_374,51.504027,-0.113864,"Waterloo Station 1, Waterloo"
18,BikePoints_375,51.501945,-0.194392,"Kensington Town Hall, Kensington"
24,BikePoints_376,51.491884,-0.125674,"Millbank Tower, Pimlico"
15,BikePoints_377,51.505354,-0.113656,"Waterloo Bridge, South Bank"
42,BikePoints_378,51.495592,-0.179077,"Natural History Museum, South Kensington"
21,BikePoints_379,51.514311,-0.200838,"Turquoise Island, Notting Hill"
21,BikePoints_380,51.506864,-0.150666,"Stanhope Gate, Mayfair"
14,BikePoints_381,51.51953,-0.135777,"Charlotte Street, Fitzrovia"
15,BikePoints_382,51.509351,-0.147449,"Farm Street, Mayfair"
18,BikePoints_383,51.513103,-0.131213,"Frith Street, Soho"
15,BikePoints_384,51.496481,-0.192404,"Marloes Road, Kensington"
16,BikePoints_386,51.513527,-0.13011,"Moor Street, Soho"
30,BikePoints_387,51.493699,-0.121394,"Fire Brigade Pier, Vauxhall"
14,BikePoints_388,51.510701,-0.121723,"Southampton Street, Strand"
